title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Keep it-秋葉工房mix-	Base	Base	0	0	0	27.375	0									TRUE	5	NP	NP	0	-	521		TRUE	9	NP	NP	0	-	867		TRUE	10	FC	AAA	1825	0	942	2.73750000E+001									TRUE	5	NP	NP	0	-	380		TRUE	9	NP	NP	0	-	775		TRUE	11	NP	NP	0	-	1204										
Dazzlin' Darlin-秋葉工房mix-	Bits	800DJP	0	0	0	30.735	0									TRUE	4	NP	NP	0	-	403		TRUE	8	NP	NP	0	-	767		TRUE	10	FC	AAA	2049	0	1053	3.07350000E+001									TRUE	5	NP	NP	0	-	474		TRUE	8	NP	NP	0	-	818		TRUE	11	NP	NP	0	-	1140										
Hydrogen Blueback	Base	Base	0	0	0	33.555	0									TRUE	5	NP	NP	0	-	520		TRUE	8	NP	NP	0	-	862		TRUE	10	FC	AAA	2237	0	1170	3.35550000E+001	TRUE	11	FC	AAA	2235	0	1241		TRUE	5	NP	NP	0	-	573		TRUE	8	NP	NP	0	-	877		TRUE	10	NP	NP	0	-	1165		TRUE	11	NP	NP	0	-	1241		
mosaic	Bits	Bits	7000	9000	11500	0	0									FALSE	7	NP	NP	0	-	754		FALSE	10	NP	NP	0	-	1035		FALSE	12	NP	NP	0	-	1509										FALSE	7	NP	NP	0	-	728		FALSE	8	NP	NP	0	-	845		FALSE	11	NP	NP	0	-	1348										
Empire State Glory	Base	Base	0	0	0	38.07	0									TRUE	6	NP	NP	0	-	563		TRUE	9	NP	NP	0	-	928		TRUE	11	FC	AAA	2538	1	1329	3.80700000E+001									TRUE	6	NP	NP	0	-	596		TRUE	10	NP	NP	0	-	1041		TRUE	11	NP	NP	0	-	1351										
spiral galaxy -L.E.D. STYLE SPREADING PARTICLE BEAM MIX-	Bits	Bits	5000	9000	10000	0	0									FALSE	5	NP	NP	0	-	541		FALSE	9	NP	NP	0	-	1086		FALSE	10	NP	NP	0	-	1270										FALSE	5	NP	NP	0	-	549		FALSE	9	NP	NP	0	-	1087		FALSE	10	NP	NP	0	-	1270										
DENJIN AKATSUKINI TAORERU -SF PureAnalogSynth Mix-	Bits	Bits	6000	7500	10000	0	0									FALSE	6	NP	NP	0	-	532		FALSE	8	NP	NP	0	-	826		FALSE	10	NP	NP	0	-	1336										FALSE	6	NP	NP	0	-	527		FALSE	7	NP	NP	0	-	819		FALSE	10	NP	NP	0	-	1222										
CaptivAte～裁き～(SUBLIME TECHNO MIX)	Bits	Bits	5500	8000	10000	0	0									FALSE	6	NP	NP	0	-	523		FALSE	8	NP	NP	0	-	837		FALSE	10	NP	NP	0	-	1231										FALSE	5	NP	NP	0	-	530		FALSE	8	NP	NP	0	-	847		FALSE	10	NP	NP	0	-	1151										
bass 2 bass	Bits	Bits	4500	7000	10000	25.897	0	TRUE	1	NP	NP	0	-	141		FALSE	4	NP	NP	0	-	366		FALSE	7	NP	NP	0	-	638		TRUE	10	EX	AAA	1786	3	970	2.58970000E+001									FALSE	5	NP	NP	0	-	472		FALSE	7	NP	NP	0	-	888		TRUE	10	NP	NP	0	-	1085										
Special One	Bits	Bits	5000	7500	9000	0	0									FALSE	5	NP	NP	0	-	435		FALSE	7	NP	NP	0	-	618		FALSE	9	NP	NP	0	-	895										FALSE	5	NP	NP	0	-	415		FALSE	8	NP	NP	0	-	625		FALSE	9	NP	NP	0	-	900										
Evans	Bits	Bits	6500	10500	12000	32.04	0	TRUE	3	NP	NP	0	-	304		FALSE	6	NP	NP	0	-	628		TRUE	11	FC	AAA	2136	0	1121	3.20400000E+001	FALSE	12	NP	NP	0	-	1440										FALSE	7	NP	NP	0	-	679		TRUE	10	NP	NP	0	-	1046		FALSE	12	NP	NP	0	-	1438										
水上の提督 (Short mix from ”幻想水滸伝V”)	Bits	1600DJP	0	0	0	30.33	0									TRUE	4	NP	NP	0	-	357		TRUE	8	NP	NP	0	-	868		TRUE	10	FC	AAA	2022	0	1073	3.03300000E+001									TRUE	3	NP	NP	0	-	357		TRUE	9	NP	NP	0	-	940		TRUE	10	NP	NP	0	-	1147										
eRAseRmOToRpHAntOM	Bits	Bits	7500	10000	12000	0	0									FALSE	7	NP	NP	0	-	787		FALSE	10	NP	NP	0	-	1340		FALSE	12	NP	NP	0	-	1686										FALSE	8	NP	NP	0	-	788		FALSE	10	NP	NP	0	-	1281		FALSE	12	NP	NP	0	-	1798										
サヨナラ・ヘヴン	Bits	200DJP	0	0	0	24.465	0									TRUE	4	NP	NP	0	-	476		TRUE	6	NP	NP	0	-	709		TRUE	8	FC	AAA	1631	0	855	2.44650000E+001									TRUE	6	NP	NP	0	-	644		TRUE	7	NP	NP	0	-	815		TRUE	8	NP	NP	0	-	957										
quell～the seventh slave～	Bits	Bits	5500	9000	12000	43.2535	0									FALSE	4	NP	NP	0	-	490		FALSE	9	NP	NP	0	-	926		TRUE	12	EX	AAA	2983	9	1646	4.32535000E+001									FALSE	7	NP	NP	0	-	638		FALSE	9	NP	NP	0	-	944		TRUE	12	NP	NP	0	-	1752										
SOLID STATE SQUAD	Bits	Bits	5000	10500	12000	49.677	0									FALSE	5	NP	NP	0	-	539		FALSE	10	NP	NP	0	-	1188		TRUE	12	EX	AAA	3337	5	1819		TRUE	12	EX	AAA	3426	1	1868	4.96770000E+001	FALSE	5	NP	NP	0	-	539		FALSE	11	NP	NP	0	-	1188		TRUE	12	NP	NP	0	-	1913		TRUE	12	NP	NP	0	-	2033		
The Story Begins	Bits	400DJP	0	0	0	35.535	0									TRUE	4	NP	NP	0	-	428		TRUE	8	NP	NP	0	-	925		TRUE	10	FC	AAA	2369	0	1232	3.55350000E+001									TRUE	6	NP	NP	0	-	729		TRUE	9	NP	NP	0	-	1117		TRUE	11	NP	NP	0	-	1480										
THE LAST STRIKER	Bits	Bits	6000	8000	10500	0	0									FALSE	6	NP	NP	0	-	721		FALSE	8	NP	NP	0	-	995		FALSE	11	NP	NP	0	-	1327										FALSE	6	NP	NP	0	-	707		FALSE	8	NP	NP	0	-	1016		FALSE	10	NP	NP	0	-	1342										
Sorrows	Base	Base	0	0	0	0	0									TRUE	5	NP	NP	0	-	410		TRUE	8	NP	NP	0	-	848		TRUE	10	NP	NP	0	-	1241										TRUE	5	NP	NP	0	-	466		TRUE	8	NP	NP	0	-	880		TRUE	11	NP	NP	0	-	1274										
Stay my side	Bits	Bits	4000	6000	7500	0	0									FALSE	4	NP	NP	0	-	325		FALSE	6	NP	NP	0	-	541		FALSE	8	NP	NP	0	-	678										FALSE	4	NP	NP	0	-	301		FALSE	6	NP	NP	0	-	498		FALSE	7	NP	NP	0	-	689										
Watch Out Pt.2	Bits	Bits	6000	9000	11500	35.504	0									FALSE	6	NP	NP	0	-	599		FALSE	9	NP	NP	0	-	1029		TRUE	12	EX	AA	2536	6	1506	3.55040000E+001									FALSE	6	NP	NP	0	-	616		FALSE	9	NP	NP	0	-	961		TRUE	11	NP	NP	0	-	1322										
Tropical April	Base	Base	0	0	0	40.095	0									TRUE	8	NP	NP	0	-	827		TRUE	10	NP	NP	0	-	1174		TRUE	11	FC	AAA	2673	1	1395	4.00950000E+001									TRUE	6	NP	NP	0	-	636		TRUE	9	NP	NP	0	-	1071		TRUE	11	NP	NP	0	-	1388										
perditus†paradisus	Bits	Bits	7000	11000	12000	47.754	0									FALSE	7	NP	NP	0	-	658		FALSE	11	NP	NP	0	-	1345		TRUE	12	EX	AA	3411	19	2065	4.77540000E+001									FALSE	7	NP	NP	0	-	665		FALSE	11	NP	NP	0	-	1341		TRUE	12	NP	NP	0	-	2109										
THE DOOR INTO RAINBOW	Bits	Bits	4000	8500	10500	0	0									FALSE	4	NP	NP	0	-	409		FALSE	8	NP	NP	0	-	873		FALSE	10	NP	NP	0	-	1123										FALSE	4	NP	NP	0	-	425		FALSE	9	NP	NP	0	-	923		FALSE	11	NP	NP	0	-	1289										
XANADU OF TWO	Base	Base	0	0	0	40.665	0									TRUE	5	NP	NP	0	-	505		TRUE	8	NP	NP	0	-	882		TRUE	10	FC	AAA	2711	0	1382	4.06650000E+001									TRUE	5	NP	NP	0	-	551		TRUE	8	NP	NP	0	-	879		TRUE	10	NP	NP	0	-	1329										
ELECTRIC MASSIVE DIVER	Base	Base	0	0	0	50.9965	0									TRUE	6	NP	NP	0	-	688		TRUE	10	NP	NP	0	-	1291		TRUE	12	EX	AAA	3517	14	1883	5.09965000E+001									TRUE	6	NP	NP	0	-	583		TRUE	9	NP	NP	0	-	1020		TRUE	12	NP	NP	0	-	1867										
THE BLACK KNIGHT	Bits	Bits	5500	10000	11500	40.977	0									FALSE	5	NP	NP	0	-	470		FALSE	10	NP	NP	0	-	1067		TRUE	11	EX	AAA	2826	1	1488	4.09770000E+001									FALSE	6	NP	NP	0	-	518		FALSE	10	NP	NP	0	-	1086		TRUE	12	NP	NP	0	-	1490										
PARADISE LOST	Bits	Bits	7000	10500	12000	45.4575	0									FALSE	7	NP	NP	0	-	726		FALSE	11	NP	NP	0	-	1217		TRUE	12	EX	AAA	3135	6	1718	4.54575000E+001									FALSE	7	NP	NP	0	-	689		FALSE	10	NP	NP	0	-	1106		TRUE	12	NP	NP	0	-	1820										
Never Fade Away	Bits	Bits	4500	8500	11000	43.77	0									FALSE	4	NP	NP	0	-	398		FALSE	8	NP	NP	0	-	907		TRUE	11	FC	AAA	2918	0	1535	4.37700000E+001									FALSE	5	NP	NP	0	-	529		FALSE	9	NP	NP	0	-	1104		TRUE	11	NP	NP	0	-	1598										
おおきなこえで	Base	Base	0	0	0	31.665	0									TRUE	3	NP	NP	0	-	230		TRUE	5	NP	NP	0	-	502		TRUE	7	NP	NP	0	-	754		TRUE	10	FC	AAA	2111	1	1095	3.16650000E+001	TRUE	3	NP	NP	0	-	235		TRUE	5	NP	NP	0	-	459		TRUE	7	NP	NP	0	-	611		TRUE	10	NP	NP	0	-	1067		
Destiny Sword	Bits	Bits	5000	9000	11000	34.515	0									FALSE	5	NP	NP	0	-	455		FALSE	9	NP	NP	0	-	923		TRUE	11	FC	AAA	2301	0	1213	3.45150000E+001									FALSE	5	NP	NP	0	-	453		FALSE	9	NP	NP	0	-	829		TRUE	11	NP	NP	0	-	1254										
Aegis	Bits	Bits	5500	8000	10500	33.57	0									FALSE	6	NP	NP	0	-	459		FALSE	8	NP	NP	0	-	717		TRUE	11	FC	AAA	2238	2	1202	3.35700000E+001									FALSE	5	NP	NP	0	-	444		FALSE	8	NP	NP	0	-	728		TRUE	10	NP	NP	0	-	1109										
ZETA～素数の世界と超越者～	Bits	Bits	5000	9500	11500	0	0	TRUE	2	NP	NP	0	-	167		FALSE	4	NP	NP	0	-	307		FALSE	9	NP	NP	0	-	1097		FALSE	11	NP	NP	0	-	1583										FALSE	6	NP	NP	0	-	557		FALSE	10	NP	NP	0	-	1307		FALSE	12	NP	NP	0	-	1847										
旅人リラン	Base	Base	0	0	0	36.192	0									TRUE	6	NP	NP	0	-	579		TRUE	9	NP	NP	0	-	998		TRUE	11	EX	AAA	2496	2	1345	3.61920000E+001									TRUE	6	NP	NP	0	-	617		TRUE	10	NP	NP	0	-	1054		TRUE	12	NP	NP	0	-	1475										
La Mar	Bits	Bits	4000	6000	8000	0	0									FALSE	4	NP	NP	0	-	337		FALSE	6	NP	NP	0	-	612		FALSE	8	NP	NP	0	-	917										FALSE	4	NP	NP	0	-	376		FALSE	6	NP	NP	0	-	534		FALSE	8	NP	NP	0	-	914										
Dances with Snow Fairies	Bits	Bits	7000	10000	12000	42.079	0									FALSE	7	NP	NP	0	-	743		FALSE	10	NP	NP	0	-	1165		TRUE	12	EX	AAA	2902	13	1623	4.20790000E+001									FALSE	7	NP	NP	0	-	739		FALSE	10	NP	NP	0	-	1183		TRUE	12	NP	NP	0	-	1848										
I FIGHT ME	Bits	Bits	3500	7000	9500	42.135	0									FALSE	3	NP	NP	0	-	315		FALSE	7	NP	NP	0	-	718		FALSE	9	NP	NP	0	-	1068		TRUE	11	FC	AAA	2809	0	1440	4.21350000E+001	FALSE	4	NP	NP	0	-	366		FALSE	7	NP	NP	0	-	781		FALSE	10	NP	NP	0	-	1172		TRUE	11	NP	NP	0	-	1428		
Vermillion	Bits	Bits	5000	7500	10000	0	0									FALSE	5	NP	NP	0	-	272		FALSE	7	NP	NP	0	-	598		FALSE	10	NP	NP	0	-	1045										FALSE	5	NP	NP	0	-	276		FALSE	8	NP	NP	0	-	743		FALSE	10	NP	NP	0	-	1091										
Kailua	Base	Base	0	0	0	31.275	0									TRUE	5	NP	NP	0	-	268		TRUE	9	NP	NP	0	-	708		TRUE	11	FC	AAA	2085	0	1125	3.12750000E+001									TRUE	4	NP	NP	0	-	429		TRUE	9	NP	NP	0	-	740		TRUE	12	NP	NP	0	-	1120										
Bounce Bounce Bounce	Bits	Bits	5000	9000	11000	33.292	0									FALSE	5	NP	NP	0	-	560		FALSE	9	NP	NP	0	-	909		TRUE	11	FC	AA	2296	3	1293	3.32920000E+001									FALSE	5	NP	NP	0	-	507		FALSE	9	NP	NP	0	-	874		TRUE	11	NP	NP	0	-	1230										
Mermaid girl	Base	Base	0	0	0	32.565	0	TRUE	3	NP	NP	0	-	295		TRUE	5	NP	NP	0	-	500		TRUE	8	NP	NP	0	-	856		TRUE	10	FC	AAA	2171	0	1113	3.25650000E+001									TRUE	6	NP	NP	0	-	629		TRUE	8	NP	NP	0	-	1003		TRUE	10	NP	NP	0	-	1310										
passionate fate	Bits	Bits	6000	8500	10500	0	0									FALSE	6	NP	NP	0	-	589		FALSE	8	NP	NP	0	-	832		FALSE	10	NP	NP	0	-	1075										FALSE	6	NP	NP	0	-	573		FALSE	9	NP	NP	0	-	840		FALSE	11	NP	NP	0	-	1295										
Golden Palms	Base	Base	0	0	0	34.336	0									TRUE	5	NP	NP	0	-	377		TRUE	8	NP	NP	0	-	758		TRUE	10	NP	NP	0	-	1036		TRUE	11	EX	AAA	2368	8	1240	3.43360000E+001	TRUE	5	NP	NP	0	-	503		TRUE	9	NP	NP	0	-	853		TRUE	10	NP	NP	0	-	1185		TRUE	11	NP	NP	0	-	1264		
New Castle Legions	Bits	Bits	6000	10000	11500	0	0									FALSE	6	NP	NP	0	-	512		FALSE	10	NP	NP	0	-	1027		FALSE	11	NP	NP	0	-	1287										FALSE	6	NP	NP	0	-	483		FALSE	10	NP	NP	0	-	990		FALSE	12	NP	NP	0	-	1567										
BLUST OF WIND	Bits	Bits	5000	8000	10000	0	0									FALSE	5	NP	NP	0	-	427		FALSE	8	NP	NP	0	-	810		FALSE	10	NP	NP	0	-	1080										FALSE	5	NP	NP	0	-	394		FALSE	8	NP	NP	0	-	784		FALSE	10	NP	NP	0	-	1113										
BROKEN EDEN	Base	Base	0	0	0	33.69	0									TRUE	6	NP	NP	0	-	542		TRUE	9	NP	NP	0	-	917		TRUE	11	FC	AAA	2246	0	1182	3.36900000E+001									TRUE	6	NP	NP	0	-	560		TRUE	10	NP	NP	0	-	992		TRUE	11	NP	NP	0	-	1235										
かげぬい ～ Ver.BENIBOTAN ～	Base	Base	0	0	0	27.96	0	TRUE	3	NP	NP	0	-	266		TRUE	5	NP	NP	0	-	450		TRUE	7	NP	NP	0	-	718		TRUE	9	FC	AAA	1864	0	980	2.79600000E+001									TRUE	5	NP	NP	0	-	458		TRUE	7	NP	NP	0	-	729		TRUE	10	NP	NP	0	-	1076										
Rock Da House	Bits	Bits	5000	8500	10500	0	0									FALSE	5	NP	NP	0	-	456		FALSE	9	NP	NP	0	-	836		FALSE	11	NP	NP	0	-	1128										FALSE	5	NP	NP	0	-	453		FALSE	8	NP	NP	0	-	794		FALSE	10	NP	NP	0	-	1150										
灼熱Beach Side Bunny	Bits	Bits	6500	10000	12000	31.395	0	TRUE	3	NP	NP	0	-	296		FALSE	7	NP	NP	0	-	564		FALSE	10	NP	NP	0	-	1025		TRUE	12	HC	A	2415	40	1719	3.13950000E+001									FALSE	6	NP	NP	0	-	542		FALSE	10	NP	NP	0	-	933		TRUE	12	NP	NP	0	-	1692										
Answer	Bits	Bits	4500	7000	9500	35.775	0									FALSE	4	NP	NP	0	-	393		FALSE	7	NP	NP	0	-	748		TRUE	10	FC	AAA	2385	0	1224	3.57750000E+001									FALSE	5	NP	NP	0	-	463		FALSE	7	NP	NP	0	-	738		TRUE	9	NP	NP	0	-	1142										
WISE UP!	Bits	Bits	3000	6500	9000	36.93	0	TRUE	2	NP	NP	0	-	174		FALSE	3	NP	NP	0	-	249		FALSE	7	NP	NP	0	-	596		FALSE	9	NP	NP	0	-	803		TRUE	11	FC	AAA	2462	0	1320	3.69300000E+001	FALSE	3	NP	NP	0	-	284		FALSE	6	NP	NP	0	-	487		FALSE	9	NP	NP	0	-	792		TRUE	11	NP	NP	0	-	1316		
ラクエン Feat.Chiharu Chonan -JAKA respect for K.S.K. Remix	Bits	Bits	6000	8000	10500	0	0									FALSE	6	NP	NP	0	-	577		FALSE	8	NP	NP	0	-	864		FALSE	10	NP	NP	0	-	1307										FALSE	6	NP	NP	0	-	616		FALSE	8	NP	NP	0	-	942		FALSE	11	NP	NP	0	-	1327										
夕焼け ～Fading Day～	Bits	Bits	5000	9000	11000	40.86	0									FALSE	5	NP	NP	0	-	504		FALSE	9	NP	NP	0	-	1067		TRUE	11	FC	AAA	2724	0	1420	4.08600000E+001									FALSE	5	NP	NP	0	-	488		FALSE	9	NP	NP	0	-	983		TRUE	11	NP	NP	0	-	1314										
Believe In Me	Bits	Bits	5000	9000	11000	35.175	0									FALSE	5	NP	NP	0	-	533		FALSE	9	NP	NP	0	-	962		TRUE	11	FC	AAA	2345	0	1213	3.51750000E+001									FALSE	5	NP	NP	0	-	502		FALSE	9	NP	NP	0	-	916		TRUE	11	NP	NP	0	-	1200										
Let The Track Flow	Bits	Bits	5500	8500	11000	38.07	0									FALSE	6	NP	NP	0	-	571		FALSE	9	NP	NP	0	-	943		TRUE	11	FC	AAA	2538	0	1367	3.80700000E+001									FALSE	5	NP	NP	0	-	534		FALSE	8	NP	NP	0	-	903		TRUE	11	NP	NP	0	-	1380										
Energy Drive	Bits	Bits	6000	8000	11000	32.385	0									FALSE	6	NP	NP	0	-	448		FALSE	8	NP	NP	0	-	763		TRUE	11	FC	AAA	2159	0	1122	3.23850000E+001									FALSE	6	NP	NP	0	-	452		FALSE	8	NP	NP	0	-	835		TRUE	11	NP	NP	0	-	1230										
Hardcore Mania	Bits	Bits	5500	8000	10000	0	0									FALSE	6	NP	NP	0	-	489		FALSE	8	NP	NP	0	-	788		FALSE	10	NP	NP	0	-	1101										FALSE	5	NP	NP	0	-	512		FALSE	8	NP	NP	0	-	865		FALSE	10	NP	NP	0	-	1097										
Breaking the ground	Bits	Bits	5000	8000	10000	0	0									FALSE	5	NP	NP	0	-	598		FALSE	8	NP	NP	0	-	899		FALSE	10	NP	NP	0	-	1274										FALSE	5	NP	NP	0	-	556		FALSE	8	NP	NP	0	-	866		FALSE	10	NP	NP	0	-	1265										
Programmed Sun (xac Antarctic Ocean mix)	Bits	Bits	4000	7000	10000	0	0									FALSE	4	NP	NP	0	-	384		FALSE	7	NP	NP	0	-	767		FALSE	10	NP	NP	0	-	1013										FALSE	4	NP	NP	0	-	344		FALSE	7	NP	NP	0	-	684		FALSE	10	NP	NP	0	-	1030										
reunion	Bits	Bits	8000	11000	12000	41.566	0	TRUE	3	NP	NP	0	-	281		FALSE	8	NP	NP	0	-	708		FALSE	11	NP	NP	0	-	1239		TRUE	12	EX	AA	2969	25	1677	4.15660000E+001									FALSE	8	NP	NP	0	-	822		FALSE	11	NP	NP	0	-	1243		TRUE	12	NP	NP	0	-	1893										
ANTHEM LANDING	Base	Base	0	0	0	43.38	0									TRUE	5	NP	NP	0	-	489		TRUE	9	NP	NP	0	-	987		TRUE	11	FC	AAA	2892	0	1484	4.33800000E+001									TRUE	6	NP	NP	0	-	555		TRUE	10	NP	NP	0	-	1164		TRUE	11	NP	NP	0	-	1258										
Medicine of love	Bits	Bits	4000	6000	9000	0	0									FALSE	4	NP	NP	0	-	331		FALSE	6	NP	NP	0	-	558		FALSE	9	NP	NP	0	-	866										FALSE	4	NP	NP	0	-	328		FALSE	6	NP	NP	0	-	502		FALSE	9	NP	NP	0	-	857										
Fantasia	Bits	Bits	3500	8000	10000	0	0	TRUE	1	NP	NP	0	-	122		FALSE	3	NP	NP	0	-	201		FALSE	8	NP	NP	0	-	781		FALSE	10	NP	NP	0	-	1123										FALSE	4	NP	NP	0	-	309		FALSE	8	NP	NP	0	-	783		FALSE	10	NP	NP	0	-	1216										
SABER WING	Bits	Bits	5000	9000	11500	0	0									FALSE	5	NP	NP	0	-	282		FALSE	9	NP	NP	0	-	952		FALSE	11	NP	NP	0	-	1438										FALSE	5	NP	NP	0	-	372		FALSE	9	NP	NP	0	-	928		FALSE	12	NP	NP	0	-	1549										
DM STAR ～関西 energy style～	Bits	Bits	6000	9000	10500	0	0									FALSE	6	NP	NP	0	-	562		FALSE	9	NP	NP	0	-	979		FALSE	10	NP	NP	0	-	1206										FALSE	6	NP	NP	0	-	637		FALSE	9	NP	NP	0	-	1109		FALSE	11	NP	NP	0	-	1474										
WE LOVE SHONAN	Bits	Bits	4000	8500	10500	0	0									FALSE	4	NP	NP	0	-	404		FALSE	9	NP	NP	0	-	865		FALSE	10	NP	NP	0	-	1106										FALSE	4	NP	NP	0	-	421		FALSE	8	NP	NP	0	-	734		FALSE	11	NP	NP	0	-	1180										
ALBIDA	Bits	Bits	6000	9500	11500	42.645	0	TRUE	3	NP	NP	0	-	267		FALSE	6	NP	NP	0	-	560		FALSE	10	NP	NP	0	-	1013		TRUE	12	FC	AAA	2843	1	1530	4.26450000E+001									FALSE	6	NP	NP	0	-	568		FALSE	9	NP	NP	0	-	958		TRUE	11	NP	NP	0	-	1393										
黒髪乱れし修羅となりて	Bits	Bits	4500	9500	12000	0	0									FALSE	4	NP	NP	0	-	410		FALSE	9	NP	NP	0	-	1077		FALSE	12	NP	NP	0	-	1745										FALSE	5	NP	NP	0	-	557		FALSE	10	NP	NP	0	-	1234		FALSE	12	NP	NP	0	-	1750										
sakura storm	Bits	Bits	5500	9000	12000	0	0									FALSE	5	NP	NP	0	-	529		FALSE	8	NP	NP	0	-	675		FALSE	12	NP	NP	0	-	1225										FALSE	6	NP	NP	0	-	550		FALSE	10	NP	NP	0	-	913		FALSE	12	NP	NP	0	-	1498										
Everlasting Resort	Bits	Bits	4500	7000	10000	0	0									FALSE	4	NP	NP	0	-	448		FALSE	7	NP	NP	0	-	669		FALSE	10	NP	NP	0	-	959										FALSE	5	NP	NP	0	-	472		FALSE	7	NP	NP	0	-	750		FALSE	10	NP	NP	0	-	1058										
Take Me Higher	Bits	Bits	4000	8000	10000	0	0									FALSE	4	NP	NP	0	-	400		FALSE	8	NP	NP	0	-	841		FALSE	10	NP	NP	0	-	1202										FALSE	4	NP	NP	0	-	447		FALSE	8	NP	NP	0	-	817		FALSE	10	NP	NP	0	-	1253										
STELLAR WIND	Bits	Bits	4500	9000	11000	0	0	TRUE	2	NP	NP	0	-	194		FALSE	4	NP	NP	0	-	322		FALSE	9	NP	NP	0	-	963		FALSE	11	NP	NP	0	-	1370										FALSE	5	NP	NP	0	-	523		FALSE	9	NP	NP	0	-	930		FALSE	11	NP	NP	0	-	1373										
Love♥km	Bits	Bits	3500	8000	10000	0	0									FALSE	3	NP	NP	0	-	282		FALSE	8	NP	NP	0	-	722		FALSE	10	NP	NP	0	-	1142										FALSE	4	NP	NP	0	-	375		FALSE	8	NP	NP	0	-	724		FALSE	10	NP	NP	0	-	1150										
Sakura Reflection	Bits	Bits	4500	9000	11000	0	0									FALSE	3	NP	NP	0	-	242		FALSE	9	NP	NP	0	-	815		FALSE	11	NP	NP	0	-	1190										FALSE	6	NP	NP	0	-	511		FALSE	9	NP	NP	0	-	879		FALSE	11	NP	NP	0	-	1395										
THE FALLEN	Bits	Bits	5000	8500	11000	0	0									FALSE	5	NP	NP	0	-	468		FALSE	8	NP	NP	0	-	780		FALSE	11	NP	NP	0	-	1377										FALSE	5	NP	NP	0	-	529		FALSE	9	NP	NP	0	-	925		FALSE	11	NP	NP	0	-	1235										
Broken	Bits	Bits	5000	9000	12000	45.06	0									FALSE	5	NP	NP	0	-	543		FALSE	9	NP	NP	0	-	1039		TRUE	12	FC	AAA	3004	1	1598	4.50600000E+001									FALSE	5	NP	NP	0	-	551		FALSE	9	NP	NP	0	-	1096		TRUE	12	NP	NP	0	-	1420										
Wuv U	Bits	Bits	5000	8500	10500	0	0									FALSE	3	NP	NP	0	-	208		FALSE	8	NP	NP	0	-	672		FALSE	10	NP	NP	0	-	861										FALSE	7	NP	NP	0	-	623		FALSE	9	NP	NP	0	-	804		FALSE	11	NP	NP	0	-	1089										
Survival Games	Bits	Bits	4000	7500	10000	0	0									FALSE	4	NP	NP	0	-	433		FALSE	7	NP	NP	0	-	746		FALSE	10	NP	NP	0	-	1091										FALSE	4	NP	NP	0	-	484		FALSE	8	NP	NP	0	-	829		FALSE	10	NP	NP	0	-	1195										
SPECIAL SUMMER CAMPAIGN!	Bits	Bits	5000	9000	12000	0	0									FALSE	4	NP	NP	0	-	358		FALSE	8	NP	NP	0	-	833		FALSE	12	NP	NP	0	-	1509										FALSE	6	NP	NP	0	-	601		FALSE	10	NP	NP	0	-	1097		FALSE	12	NP	NP	0	-	1526										
中華急行	Base	Base	0	0	0	34.44	0									TRUE	2	NP	NP	0	-	164		TRUE	8	NP	NP	0	-	770		TRUE	10	FC	AAA	2296	1	1167	3.44400000E+001									TRUE	5	NP	NP	0	-	433		TRUE	8	NP	NP	0	-	811		TRUE	10	NP	NP	0	-	1233										
Snake Stick	Bits	Bits	6000	10000	12000	34.916	0									FALSE	6	NP	NP	0	-	535		FALSE	10	NP	NP	0	-	1067		TRUE	12	EX	AA	2494	19	1447	3.49160000E+001									FALSE	6	NP	NP	0	-	560		FALSE	10	NP	NP	0	-	1108		TRUE	12	NP	NP	0	-	1418										
天空の夜明け	Sub	LC1	0	0	0	0	0									FALSE	7	NP	NP	0	-	686		FALSE	10	NP	NP	0	-	1125		FALSE	12	NP	NP	0	-	2072										FALSE	7	NP	NP	0	-	703		FALSE	11	NP	NP	0	-	1444		FALSE	12	NP	NP	0	-	2261										
F	Sub	LC1	0	0	0	0	0									FALSE	5	NP	NP	0	-	532		FALSE	10	NP	NP	0	-	1099		FALSE	12	NP	NP	0	-	1813										FALSE	5	NP	NP	0	-	532		FALSE	10	NP	NP	0	-	1258		FALSE	12	NP	NP	0	-	1760										
